id,1251011@哲學概論（一）@1@1,1251011@哲學概論（一）@1@2,1251406@基礎邏輯（上）@1@1,1251406@基礎邏輯（上）@1@2,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252200@知識論@1@1,1252907@羅爾斯@1@1,1253937@存在主義@1@1,1253950@中國哲學概論@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251012@哲學概論（二）@2@2,1251407@基礎邏輯（下）@2@1,1251407@基礎邏輯（下）@2@2,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252306@語言哲學@2@1,1253500@科學哲學@2@1,1253545@自然哲學家：達爾文@2@1,1252305@心靈哲學@1@1,1252306@語言哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252610@應用倫理學@1@1,1252927@蒯因@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1252010@哲學寫作@2@1,1252100@形上學@2@1,1252200@知識論@2@1,1252701@政治哲學@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254113@當代分析哲學重要議題選讀@2@1,1254503@生物哲學概論@2@1
404125016,NaN,80,61,NaN,NaN,70,NaN,NaN,NaN,79,NaN,NaN,NaN,87,NaN,NaN,92,-1,42,85,75,NaN,-1,NaN,75,NaN,NaN,76,NaN,60,74,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404125017,NaN,70,NaN,57,85,61,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,72,41,NaN,NaN,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125023,NaN,60,NaN,0,50,29,NaN,NaN,NaN,40,NaN,NaN,NaN,10,NaN,NaN,-1,-1,0,NaN,8,NaN,NaN,NaN,NaN,0,0,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404125025,NaN,73,78,NaN,85,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,80,NaN,61,NaN,NaN,67,NaN,NaN,NaN,80,NaN,NaN,72,83,49,70,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
404125026,NaN,67,NaN,0,NaN,21,NaN,NaN,NaN,10,NaN,NaN,0,NaN,NaN,NaN,60,NaN,NaN,0,3,NaN,NaN,NaN,NaN,NaN,NaN,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125028,NaN,79,NaN,61,NaN,78,NaN,NaN,NaN,90,NaN,60,NaN,NaN,NaN,76,NaN,68,NaN,90,79,NaN,-1,NaN,77,88,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
404125029,NaN,75,78,NaN,90,66,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,76,NaN,68,NaN,NaN,74,NaN,-1,NaN,73,80,NaN,73,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,-1,NaN,NaN,-1
404125032,NaN,70,NaN,68,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125036,NaN,82,NaN,81,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,82,NaN,NaN,93,90,94,NaN,-1,NaN,NaN,94,NaN,89,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
404125037,NaN,81,70,NaN,85,67,NaN,NaN,NaN,61,NaN,NaN,NaN,72,NaN,NaN,79,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
