id,3351001@整合傳播概論@1@1,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351007@美學與藝術概論@1@1,3351013@戲劇概論@1@1,3351015@文選@1@1,3351019@傳播外文@1@1,3351888@學系服務學習@1@1,3351004@視聽傳播@2@1,3351005@傳播史@2@1,3351014@電影概論@2@1,3351016@創意與設計概論@2@1,3351020@媒介寫作（一）@2@1,3351020@媒介寫作（一）@2@2,3351021@媒介與社會@2@1,3351888@學系服務學習@2@1,3352001@資訊傳播@1@1,3352001@資訊傳播@1@2,3352005@媒介寫作（二）@1@1,3352005@媒介寫作（二）@1@2,3352007@研究方法@1@1,3352016@基礎公共演說@1@1,3352019@進階視聽傳播@1@1,3352022@流行音樂與社會@1@1,3352023@廣告概論@1@1,3352029@影像寫作@1@1,3352006@訊息設計@2@1,3352008@數位整合媒體實務@2@1,3352024@傳播理論@2@1,3352025@當代社會問題分析@2@1,3352030@劇情片製作@2@1,3352031@廣告創意與製作@2@1,3353018@音樂、影像與展演@2@1,3353021@紀錄片與專題製作@2@1,3351022@社會學與傳播@1@1,3352028@廣告心理與行銷@1@1,3353001@媒體製作實務（一）@1@1,3353002@校內實習（一）@1@1,3353016@傳播倫理@1@1,3353017@傳播法規@1@1,3354002@推廣製作專題@1@1,3352021@傳播典範人物@2@1,3352032@國際傳播@2@1,3353007@校內實習（二）@2@1,3353008@媒體製作實務（二）@2@1,3353010@創意策略與企劃@2@1,3353011@資訊編輯企劃@2@1,3353015@媒體思辨@2@1,3354003@資訊製作專題@1@1,3354015@畢業製作（一）@1@1,3351029@基礎聲音製作@2@1,3353023@調查報導@2@1,3354016@畢業製作@2@1,3352033@傳播倫理@1@1,3353022@華人電影專題研究@1@1,3353024@數位媒體製作實務(一)@1@1,3351025@創意短片製作@2@1,3353025@數位媒體製作實務(二)@2@1
401335033,70,88,NaN,85,NaN,NaN,81,70,82,84,80,85,87,NaN,72,NaN,90,NaN,85,NaN,89,88,NaN,80,78,75,84,91,90,84,NaN,86,NaN,NaN,NaN,79,93,93,NaN,87,NaN,86,NaN,92,92,88,NaN,NaN,80,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335034,99,NaN,81,85,NaN,82,88,NaN,83,83,NaN,83,NaN,91,82,89,95,NaN,NaN,96,82,NaN,NaN,NaN,87,74,95,90,95,90,NaN,83,NaN,NaN,NaN,NaN,87,87,NaN,91,92,90,NaN,93,93,90,90,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335035,99,88,NaN,87,NaN,79,85,93,83,76,NaN,84,90,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335036,81,NaN,82,86,NaN,78,85,NaN,86,83,82,85,NaN,90,84,83,NaN,87,NaN,91,88,88,NaN,NaN,84,85,NaN,93,92,NaN,NaN,84,NaN,NaN,NaN,NaN,92,92,60,NaN,NaN,88,NaN,95,95,NaN,87,NaN,88,81,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
401335037,83,87,NaN,85,NaN,81,81,98,85,82,80,84,89,NaN,81,NaN,90,NaN,84,NaN,84,NaN,NaN,83,74,NaN,86,95,95,85,NaN,88,NaN,NaN,NaN,87,83,83,NaN,87,88,NaN,NaN,91,91,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335038,90,NaN,81,86,81,NaN,86,NaN,82,76,76,84,NaN,90,60,83,NaN,86,NaN,95,83,NaN,NaN,NaN,74,NaN,94,NaN,87,75,NaN,86,NaN,NaN,NaN,84,92,92,60,93,NaN,90,NaN,86,86,86,87,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335039,83,88,NaN,86,NaN,83,90,70,86,80,82,86,89,NaN,84,NaN,90,NaN,85,NaN,85,87,NaN,78,79,NaN,91,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,88,83,83,88,87,88,90,NaN,80,80,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335040,99,NaN,78,87,NaN,NaN,84,NaN,85,89,81,85,90,NaN,77,81,NaN,89,NaN,92,84,86,NaN,NaN,80,78,94,94,96,88,NaN,87,NaN,NaN,NaN,NaN,93,93,NaN,92,92,90,NaN,93,93,87,NaN,NaN,NaN,88,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
401335041,78,87,NaN,85,NaN,77,81,90,77,73,73,87,88,NaN,74,NaN,81,NaN,86,NaN,83,85,NaN,71,NaN,85,73,90,80,82,72,NaN,NaN,68,NaN,58,82,82,75,80,NaN,85,NaN,95,95,82,NaN,NaN,60,79,NaN,66,84,NaN,NaN,NaN,NaN,NaN
401335042,73,NaN,81,83,NaN,NaN,87,NaN,86,83,81,87,88,NaN,83,86,NaN,83,NaN,97,88,88,NaN,77,76,81,85,91,90,NaN,NaN,86,NaN,NaN,NaN,NaN,89,89,88,NaN,NaN,87,NaN,93,93,88,NaN,NaN,80,80,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
401335043,80,88,NaN,86,NaN,81,86,92,86,82,NaN,84,89,NaN,92,NaN,96,NaN,87,NaN,87,90,NaN,NaN,85,NaN,95,92,92,NaN,NaN,87,NaN,83,NaN,90,95,95,88,91,NaN,NaN,NaN,92,92,86,88,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335044,90,NaN,82,86,NaN,80,87,NaN,85,77,79,85,88,NaN,85,81,NaN,89,NaN,91,85,NaN,NaN,78,78,82,84,NaN,92,85,NaN,NaN,NaN,85,NaN,100,88,88,NaN,90,87,NaN,NaN,93,93,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335045,94,87,NaN,86,NaN,83,92,98,87,88,NaN,83,92,NaN,87,NaN,94,NaN,84,NaN,87,NaN,82,NaN,90,84,98,94,97,89,NaN,87,NaN,NaN,NaN,NaN,94,94,NaN,95,91,92,NaN,90,90,90,NaN,NaN,NaN,88,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
401335046,83,NaN,80,83,NaN,81,88,NaN,73,69,68,NaN,NaN,89,63,61,NaN,83,NaN,92,78,NaN,NaN,83,62,NaN,85,73,88,NaN,NaN,NaN,90,NaN,NaN,56,89,89,82,89,NaN,86,84,86,86,83,NaN,NaN,60,75,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
401335047,99,89,NaN,85,NaN,77,87,70,86,75,84,84,89,NaN,88,NaN,NaN,91,85,NaN,85,91,86,NaN,81,NaN,85,NaN,92,82,NaN,NaN,NaN,85,NaN,NaN,91,91,88,NaN,NaN,92,NaN,93,93,NaN,88,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335048,73,NaN,80,86,NaN,79,82,NaN,86,79,78,85,87,NaN,76,83,NaN,83,NaN,91,85,85,NaN,76,81,NaN,79,91,93,86,NaN,87,NaN,NaN,NaN,83,93,93,NaN,89,91,88,NaN,95,95,88,NaN,NaN,NaN,85,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
401335049,88,87,NaN,85,NaN,85,89,90,85,81,NaN,87,89,NaN,86,NaN,NaN,84,85,NaN,86,87,85,80,78,82,89,95,91,NaN,NaN,79,NaN,NaN,NaN,NaN,93,93,85,NaN,NaN,90,NaN,93,93,87,NaN,NaN,84,86,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
