id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201151@工程圖學（二）@2@3,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202751@電子電路學（一）@2@1,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202054@實驗方法與量測理論@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@2,4203602@流體力學（一）@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203004@專題研究B（一）@1@1,4203005@專題研究C（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203104@機械設計@1@2,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204015@工具機概論@1@1,4204251@數值方法@1@1,4204703@嵌入式控制器設計@1@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203065@專題研究A(二)@2@1,4203067@專題研究C（二）@2@1,4203105@機械設計實習@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203952@工程光學@2@1,4204054@專利侵害鑑定理論與實務@2@1,4204159@創意工程設計@2@1,4204353@電腦輔助工程分析與實務運用@2@1,4204012@自動控制實驗@1@1,4204012@自動控制實驗@1@2,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204301@應用光學與實務@1@1,4204353@電腦輔助工程分析與實務運用@1@1,4203068@專題研究D（二）@2@1,4203755@機電專題實作(一)@2@1
402420039,65,65,NaN,64,NaN,83,NaN,60,76,NaN,67,NaN,NaN,NaN,NaN,74,65,80,62,63,70,62,66,NaN,63,60,61,65,NaN,61,84,NaN,NaN,NaN,NaN,NaN,80,NaN,64,61,70,NaN,72,NaN,68,NaN,78,NaN,NaN,NaN,NaN,NaN,75,NaN,71,NaN,NaN,NaN,NaN,NaN,68,NaN,60,82,NaN,NaN,NaN
402420040,72,NaN,62,NaN,75,NaN,NaN,60,73,NaN,65,NaN,NaN,90,NaN,82,60,80,65,69,87,77,61,NaN,60,61,90,79,NaN,73,86,NaN,NaN,NaN,NaN,NaN,65,NaN,81,75,NaN,77,76,NaN,68,NaN,78,NaN,NaN,NaN,NaN,NaN,80,NaN,77,NaN,NaN,NaN,NaN,NaN,78,82,70,NaN,NaN,NaN,NaN
402420041,77,75,NaN,79,NaN,88,NaN,72,NaN,80,87,NaN,NaN,NaN,NaN,NaN,60,98,72,76,61,60,84,-1,76,70,78,65,68,73,NaN,85,NaN,NaN,NaN,NaN,72,NaN,71,75,NaN,61,NaN,NaN,93,NaN,85,NaN,NaN,NaN,-1,84,NaN,79,84,-1,NaN,NaN,81,85,NaN,85,70,NaN,NaN,NaN,NaN
402420042,73,NaN,78,NaN,72,NaN,NaN,83,NaN,92,89,NaN,NaN,80,NaN,NaN,72,NaN,68,88,67,90,70,NaN,84,80,83,94,69,89,88,NaN,NaN,NaN,NaN,NaN,67,NaN,72,74,NaN,61,NaN,98,50,90,NaN,NaN,NaN,NaN,82,-1,69,80,-1,NaN,NaN,NaN,NaN,NaN,89,80,NaN,NaN,NaN,NaN,NaN
402420043,69,65,NaN,78,NaN,NaN,90,68,77,NaN,78,NaN,NaN,NaN,NaN,NaN,80,80,86,75,75,84,60,NaN,61,75,85,75,68,72,83,NaN,NaN,NaN,NaN,85,65,NaN,68,73,NaN,63,NaN,60,78,85,NaN,NaN,NaN,NaN,64,62,71,60,-1,NaN,NaN,NaN,91,NaN,81,NaN,70,NaN,NaN,NaN,NaN
402420044,96,NaN,80,NaN,93,NaN,NaN,68,NaN,93,NaN,92,NaN,95,NaN,NaN,76,70,79,76,73,75,69,NaN,NaN,85,81,NaN,81,-1,NaN,82,NaN,NaN,NaN,NaN,64,NaN,NaN,62,64,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,-1,69,61,NaN,NaN,NaN,75,NaN,81,NaN,NaN,84,NaN,NaN
402420045,91,88,NaN,85,NaN,90,NaN,75,89,NaN,82,NaN,NaN,NaN,NaN,NaN,83,96,100,95,83,81,63,NaN,80,82,88,NaN,76,78,88,NaN,NaN,86,NaN,NaN,75,NaN,NaN,78,NaN,77,84,NaN,94,88,NaN,NaN,NaN,NaN,80,-1,NaN,76,83,NaN,NaN,NaN,89,NaN,87,NaN,77,NaN,NaN,NaN,NaN
402420046,64,NaN,63,NaN,76,NaN,NaN,60,NaN,79,NaN,NaN,70,90,NaN,86,74,88,69,65,75,60,-1,NaN,60,73,63,74,NaN,73,86,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,69,NaN,65,NaN,NaN,71,83,NaN,NaN,NaN,NaN,-1,-1,72,NaN,70,NaN,NaN,NaN,NaN,73,NaN,81,70,NaN,NaN,NaN,NaN
402420047,83,64,NaN,73,NaN,90,NaN,75,79,NaN,NaN,62,NaN,NaN,NaN,95,70,78,79,82,89,72,71,NaN,82,78,79,67,NaN,75,87,NaN,NaN,NaN,NaN,NaN,64,NaN,72,80,NaN,81,77,NaN,71,NaN,79,NaN,NaN,87,NaN,74,-1,75,80,NaN,NaN,NaN,NaN,NaN,67,83,60,NaN,NaN,NaN,NaN
402420048,45,NaN,66,NaN,75,NaN,NaN,36,69,NaN,69,NaN,NaN,90,NaN,NaN,0,NaN,1,0,NaN,9,NaN,NaN,NaN,17,NaN,NaN,7,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
