id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201151@工程圖學（二）@2@3,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202053@視窗程式設計@2@1,4202751@電子電路學（一）@2@2,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4202051@工程數學（二）@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4203151@機器動力學@2@1,4203602@流體力學（一）@2@1,4203754@訊號與影像處理導論@2@1
404420098,76,NaN,92,NaN,78,NaN,NaN,70,NaN,90,NaN,NaN,93,NaN,80,NaN,NaN,65,95,65,77,68,60,-1,-1,-1,-1,-1,NaN,-1,NaN
404420099,89,91,NaN,80,NaN,90,NaN,76,90,NaN,NaN,78,NaN,NaN,NaN,NaN,-1,91,NaN,87,89,89,92,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420100,54,NaN,90,NaN,61,NaN,NaN,62,NaN,92,NaN,NaN,73,NaN,80,NaN,-1,25,80,61,69,56,60,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420101,87,90,NaN,69,NaN,NaN,82,62,92,NaN,72,NaN,NaN,NaN,NaN,NaN,-1,85,85,94,88,90,80,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420102,77,NaN,89,NaN,69,NaN,NaN,71,NaN,94,66,NaN,NaN,70,NaN,NaN,-1,70,NaN,77,74,80,60,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420103,70,92,NaN,72,NaN,NaN,82,60,92,NaN,NaN,86,NaN,NaN,NaN,NaN,-1,67,72,68,65,78,60,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420104,86,NaN,92,NaN,86,NaN,NaN,77,NaN,90,82,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404420105,79,79,NaN,71,NaN,NaN,78,70,90,NaN,62,NaN,NaN,NaN,NaN,NaN,-1,83,NaN,83,77,71,90,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420106,74,NaN,83,NaN,60,NaN,NaN,-1,NaN,86,47,-1,NaN,70,NaN,NaN,-1,60,NaN,NaN,35,45,47,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420107,97,89,NaN,90,NaN,NaN,88,96,90,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,98,99,100,98,99,99,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420051,68,88,NaN,60,NaN,73,NaN,-1,92,NaN,NaN,NaN,62,NaN,NaN,NaN,-1,77,89,60,60,28,48,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420115,100,86,NaN,96,NaN,50,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,93,81,NaN,75,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420116,88,NaN,76,73,NaN,NaN,87,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,83,NaN,95,79,NaN,75,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
404420118,95,NaN,72,94,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,-1,88,NaN,91,NaN,98,92,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
404420113,NaN,NaN,81,91,NaN,100,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,79,NaN,92,87,NaN,92,-1,-1,-1,-1,NaN,NaN,-1,NaN
