id,5151032@初級會計學（一）@1@1,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5151013@經濟學原理（二）@2@1,5151033@初級會計學（二）@2@1,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5152020@統計學（一）@1@1,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@2,5153173@金融倫理學@1@1,5154441@不動產概論@1@1,5152021@統計學（二）@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@2,5152200@投資學@2@1,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5152400@商用軟體應用與設計@2@2,5153351@財務風險管理@2@1,5152100@財務管理（一）@1@3,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153300@金融市場與機構@1@1,5153300@金融市場與機構@1@2,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5153340@期貨與選擇權@1@2,5154172@財務金融個案研究@1@1,5154220@證券分析@1@1,5154314@金融風險與金控公司管理@1@1,5154400@風險管理與保險@1@1,5152101@財務管理（二）@2@3,5153100@財務理論與政策@2@1,5154171@高階財務管理@2@1,5154180@國際財務管理@2@1,5154180@國際財務管理@2@2,5154340@實質選擇權@2@1,5154411@人身風險與退休規畫@2@1,5154661@財務預測@2@1,5154172@財務金融個案研究@1@2,5154210@投資組合分析@1@1,5154350@國際金融市場@1@1,5153174@企業價值評估@2@1,5154315@銀行管理@2@1,5154320@投資銀行@2@1,5154400@風險管理與保險@2@1
401515031,70,NaN,80,80,67,NaN,NaN,NaN,79,76,NaN,88,NaN,NaN,75,80,NaN,77,NaN,NaN,83,NaN,NaN,81,83,74,NaN,73,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,80,87,NaN,NaN,NaN,NaN,88,NaN
401515032,94,NaN,NaN,98,97,NaN,83,NaN,96,92,NaN,87,NaN,NaN,100,96,NaN,NaN,94,NaN,99,97,NaN,90,90,NaN,97,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,100,98,99,NaN,NaN,NaN,84,92,97,NaN,NaN,NaN,NaN,NaN
401515033,71,80,NaN,80,71,NaN,NaN,NaN,71,NaN,74,81,NaN,NaN,78,NaN,76,NaN,83,NaN,84,NaN,NaN,81,84,NaN,78,82,67,NaN,NaN,NaN,NaN,NaN,NaN,85,85,NaN,86,91,NaN,78,94,95,91,NaN,NaN,NaN,NaN
401515034,63,NaN,NaN,61,44,82,NaN,NaN,67,72,NaN,69,NaN,NaN,79,68,NaN,88,NaN,NaN,81,NaN,NaN,61,85,70,NaN,84,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,80,83,79,NaN,NaN,NaN,NaN,NaN
401515035,78,NaN,80,73,74,NaN,NaN,NaN,67,67,NaN,84,NaN,NaN,82,71,NaN,93,NaN,94,NaN,NaN,NaN,80,85,81,NaN,NaN,NaN,90,85,90,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401515036,90,NaN,NaN,77,78,NaN,83,NaN,87,80,NaN,74,NaN,NaN,100,84,NaN,96,NaN,NaN,89,NaN,NaN,82,90,81,NaN,83,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,82,NaN,NaN,82,86,91,NaN,NaN,NaN,NaN,NaN
401515037,71,NaN,85,80,70,NaN,NaN,NaN,91,78,NaN,87,67,NaN,100,89,NaN,98,NaN,NaN,86,NaN,NaN,88,88,94,NaN,87,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,98,NaN,90,97,NaN,NaN,NaN,NaN,NaN,NaN
401515038,67,NaN,NaN,86,72,NaN,82,NaN,89,83,NaN,89,NaN,NaN,100,85,NaN,NaN,83,NaN,92,NaN,NaN,72,83,70,NaN,NaN,73,NaN,NaN,83,NaN,NaN,NaN,NaN,95,88,NaN,94,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
401515039,80,80,NaN,78,68,NaN,NaN,NaN,77,80,NaN,76,NaN,NaN,80,82,NaN,94,NaN,NaN,84,85,NaN,85,88,81,NaN,90,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,84,92,95,NaN,NaN,NaN,NaN,NaN
401515040,70,NaN,NaN,82,68,82,NaN,NaN,87,80,NaN,79,NaN,NaN,100,82,NaN,NaN,90,NaN,87,NaN,NaN,90,87,NaN,85,91,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,88,NaN,NaN,90,92,NaN,NaN,NaN,NaN,NaN,NaN
