id,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4102062@資料結構@1@1,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1,4101031@程式設計（一）@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4103026@多媒體技術概論@1@1,4103069@易數邏輯@1@1,4102013@機率論@2@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4102160@物件導向程式設計@2@2,4102170@統計學@2@1,4103039@電腦網路概論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4102013@機率論@1@1,4102013@機率論@1@2,4103001@作業系統概論@1@1,4103022@軟體工程@1@1,4103055@計算機組織@1@1,4103055@計算機組織@1@2,4103066@人工智慧導論@1@1,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4103061@數值分析@2@1,4103090@數位信號處理導論@2@1,4103900@工程倫理@2@1,4104005@編譯器設計@2@2,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5
403410062,70,63,63,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,72,62,NaN,62,NaN,NaN,NaN,69,NaN,71,NaN,70,NaN,88,60,62,66,NaN,NaN,NaN,NaN,90,75,84,NaN,76,NaN,NaN,82,NaN,70,-1,76,NaN,NaN,NaN,NaN,89,85,NaN,85,76,93,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403410064,96,99,99,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,92,94,NaN,94,NaN,NaN,NaN,72,NaN,94,NaN,98,NaN,95,91,100,99,NaN,NaN,NaN,NaN,100,84,90,NaN,91,NaN,NaN,91,-1,90,-1,93,NaN,NaN,NaN,NaN,88,89,NaN,88,NaN,95,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403410065,68,69,69,NaN,NaN,NaN,NaN,42,72,NaN,NaN,45,NaN,NaN,64,NaN,NaN,NaN,64,NaN,NaN,-1,NaN,62,NaN,67,49,NaN,20,68,NaN,50,-1,NaN,-1,78,NaN,68,NaN,62,NaN,68,-1,NaN,NaN,NaN,-1,NaN,NaN,57,NaN,NaN,61,9,90,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1
403410066,73,71,71,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,63,NaN,NaN,74,NaN,NaN,NaN,74,68,NaN,64,NaN,89,86,NaN,64,60,70,NaN,NaN,NaN,NaN,79,65,80,NaN,85,NaN,84,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,74,83,NaN,77,68,93,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
403410067,79,65,65,NaN,NaN,NaN,NaN,75,NaN,72,NaN,65,NaN,83,NaN,83,NaN,NaN,NaN,NaN,NaN,64,NaN,83,72,NaN,67,74,70,63,NaN,NaN,65,NaN,-1,84,NaN,81,NaN,NaN,62,NaN,-1,-1,NaN,NaN,78,NaN,NaN,67,NaN,NaN,71,45,93,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
403410068,77,75,NaN,NaN,75,NaN,75,NaN,NaN,NaN,NaN,76,NaN,NaN,82,NaN,82,NaN,NaN,NaN,81,75,NaN,62,NaN,80,81,88,64,77,NaN,NaN,NaN,83,77,87,NaN,86,NaN,NaN,71,NaN,-1,-1,NaN,76,-1,NaN,NaN,82,79,80,NaN,72,98,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403410069,66,66,66,NaN,NaN,NaN,63,NaN,73,NaN,72,37,NaN,-1,NaN,52,NaN,-1,NaN,NaN,NaN,-1,NaN,71,NaN,86,70,NaN,60,NaN,NaN,70,63,NaN,-1,NaN,83,68,NaN,74,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,70,77,NaN,65,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403410070,83,99,99,NaN,NaN,NaN,NaN,76,NaN,NaN,98,NaN,83,91,NaN,91,NaN,NaN,NaN,69,NaN,95,NaN,92,NaN,73,89,NaN,86,NaN,NaN,NaN,NaN,97,71,90,NaN,90,NaN,NaN,90,NaN,100,-1,-1,NaN,-1,NaN,NaN,96,88,NaN,97,93,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403410071,86,94,NaN,NaN,94,NaN,75,NaN,86,NaN,NaN,86,NaN,NaN,81,NaN,81,NaN,NaN,NaN,NaN,80,NaN,95,90,NaN,82,90,99,NaN,NaN,NaN,NaN,93,85,90,NaN,87,NaN,NaN,86,79,-1,NaN,NaN,89,-1,NaN,NaN,92,91,92,NaN,91,97,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
403410072,81,99,99,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,88,NaN,99,NaN,NaN,NaN,99,NaN,NaN,76,85,NaN,100,NaN,87,93,100,99,90,NaN,NaN,NaN,87,98,NaN,89,100,NaN,NaN,92,87,-1,-1,-1,NaN,-1,NaN,NaN,95,96,NaN,89,84,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403410073,90,71,NaN,NaN,71,NaN,NaN,73,73,NaN,NaN,74,NaN,72,NaN,NaN,NaN,72,NaN,NaN,NaN,60,NaN,60,NaN,82,86,67,60,86,NaN,NaN,NaN,80,70,NaN,89,NaN,65,NaN,81,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,77,89,67,NaN,71,95,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
